time,站点名称,O3_8H,气温(℃),风速(m/s),风向(°),SO2,NO2,PM10,CO,PM2.5
2024-01-01,高新科技工业园,49.0,-9.3,0.4,152.9,5,47,70,0.61,28
2024-01-01,装备制造基地,60.0,-6.0,1.4,253.8,10,20,76,0.147,21
2024-01-01,麻黄湾,68.0,-5.1,2.2,254.7,27,35,44,0.618,20
2024-01-01,蒙古象棋广场-超级站,61.0,-9.5,0.5,358.7,8,33,49,1.087,35
2024-01-01,达旗经济开发区,40.0,-9.7,0.0,326.0,12,54,82,0.952,68
2024-01-01,敖包梁,57.0,-5.4,3.3,307.8,23,45,61,1.045,34
2024-01-01,青达门,67.0,-6.0,2.8,199.9,8,18,39,0.398,17
2024-01-01,准格尔旗经济开发区,10.0,-10.7,0.8,338.8,9,36,125,1.171,73
2024-01-01,大路新区,47.0,-7.0,2.9,354.7,6,45,42,0.699,26
2024-01-01,哈尔乌素矿区,8.0,-6.3,2.0,171.1,29,64,111,0.967,39
2024-01-01,窑沟,12.0,-6.6,2.0,284.6,21,78,154,1.325,41
2024-01-01,黑岱沟,23.0,-6.5,2.0,226.2,37,83,162,0.728,41
2024-01-01,羊市塔,28.0,-7.3,0.7,159.4,25,101,432,1.503,61
2024-01-01,黄天棉图,42.0,-5.6,1.7,335.7,24,60,86,0.942,25
2024-01-01,纳日松,37.0,-8.0,1.0,336.2,21,48,112,1.401,28
2024-01-01,上海庙东,42.0,-5.5,2.6,142.5,8,23,78,0.817,26
2024-01-01,独贵塔拉工业园区,51.0,-8.8,0.7,55.5,5,37,76,0.719,30
2024-01-01,新能源产业示范区,70.0,-8.1,2.0,175.4,6,31,36,0.822,11
2024-01-01,独贵塔拉南项目区,73.0,-6.1,1.9,277.1,4,11,135,0.295,20
2024-01-01,乌审召,56.0,-7.7,1.1,258.1,9,40,53,0.885,43
2024-01-01,蒙大工业园,67.0,-3.4,1.9,266.7,8,26,59,0.666,30
2024-01-01,中天合创宿舍楼站,60.0,-5.1,1.7,172.0,22,16,63,0.992,31
2024-01-01,查汗淖尔湖站,61.0,-8.5,1.1,288.4,26,32,57,0.559,29
2024-01-01,纳林陶亥镇,37.0,-6.6,0.9,256.8,10,83,95,2.173,38
2024-01-01,圣圆煤化工基地,25.0,-6.1,1.7,186.7,15,32,206,1.827,47
2024-01-01,空港物流园区,64.0,-6.3,2.3,237.5,8,34,50,0.984,29
2024-01-02,高新科技工业园,67.0,-6.8,0.9,196.3,4,31,70,0.416,18
2024-01-02,装备制造基地,65.0,-5.5,2.9,257.9,5,13,75,0.134,15
2024-01-02,麻黄湾,70.0,-5.2,3.8,280.9,22,24,41,0.456,9
2024-01-02,蒙古象棋广场-超级站,78.0,-6.7,1.0,349.1,7,20,45,0.925,16
2024-01-02,达旗经济开发区,45.0,-8.5,0.0,128.0,13,57,83,0.96,65
2024-01-02,敖包梁,72.0,-6.0,3.6,340.4,10,23,49,0.843,17
2024-01-02,高头窑,71.0,-5.2,4.1,309.5,10,17,56,1.377,15
2024-01-02,准格尔旗经济开发区,31.0,-8.7,1.4,351.5,9,33,111,1.065,59
2024-01-02,大路新区,70.0,-6.2,4.0,22.7,6,34,38,0.167,26
2024-01-02,哈尔乌素矿区,19.0,-5.6,3.2,231.3,25,47,74,0.888,34
2024-01-02,窑沟,51.0,-5.8,3.1,308.1,16,46,96,1.087,29
2024-01-02,黑岱沟,44.0,-6.0,2.4,266.2,32,57,124,0.785,31
2024-01-02,羊市塔,31.0,-5.9,1.7,174.7,23,101,474,1.461,51
2024-01-02,黄天棉图,57.0,-4.9,3.7,6.1,15,45,68,0.635,8
2024-01-02,纳日松,54.0,-6.4,1.7,17.7,21,41,109,1.165,27
