2025-05-28 12:30:27 | INFO     | logger_config:_setup_logging:99 - 日志系统已初始化 [intelligent-analysis-agent] - 日志目录: logs
2025-05-28 12:30:27 | INFO     | __main__:initialize_system:249 - 开始初始化智能数据分析系统...
2025-05-28 12:30:27 | INFO     | __main__:initialize_server:142 - MCP服务器 correlation 连接成功: http://127.0.0.1:8000/sse
2025-05-28 12:30:27 | INFO     | __main__:initialize_server:128 - 服务器 regression 已禁用，跳过初始化
2025-05-28 12:30:27 | INFO     | __main__:initialize_server:128 - 服务器 clustering 已禁用，跳过初始化
2025-05-28 12:30:27 | INFO     | __main__:initialize_server:128 - 服务器 statistics 已禁用，跳过初始化
2025-05-28 12:30:27 | INFO     | __main__:update_agent_tools:241 - Agent工具已更新，当前可用服务器数量: 1
2025-05-28 12:30:27 | INFO     | __main__:initialize_system:261 - 系统初始化完成: 1/4 个服务器成功启动
2025-05-28 12:30:27 | INFO     | __main__:initialize_system:265 -   - correlation: 成功
2025-05-28 12:30:27 | INFO     | __main__:initialize_system:265 -   - regression: 失败
2025-05-28 12:30:27 | INFO     | __main__:initialize_system:265 -   - clustering: 失败
2025-05-28 12:30:27 | INFO     | __main__:initialize_system:265 -   - statistics: 失败
2025-05-28 12:50:09 | INFO     | logger_config:_setup_logging:99 - 日志系统已初始化 [intelligent-analysis-agent] - 日志目录: logs
2025-05-28 12:50:09 | INFO     | __main__:initialize_system:249 - 开始初始化智能数据分析系统...
2025-05-28 12:50:09 | INFO     | __main__:initialize_server:142 - MCP服务器 correlation 连接成功: http://127.0.0.1:8000/sse
2025-05-28 12:50:09 | INFO     | __main__:initialize_server:128 - 服务器 regression 已禁用，跳过初始化
2025-05-28 12:50:09 | INFO     | __main__:initialize_server:128 - 服务器 clustering 已禁用，跳过初始化
2025-05-28 12:50:09 | INFO     | __main__:initialize_server:128 - 服务器 statistics 已禁用，跳过初始化
2025-05-28 12:50:09 | INFO     | __main__:update_agent_tools:241 - Agent工具已更新，当前可用服务器数量: 1
2025-05-28 12:50:09 | INFO     | __main__:initialize_system:261 - 系统初始化完成: 1/4 个服务器成功启动
2025-05-28 12:50:09 | INFO     | __main__:initialize_system:265 -   - correlation: 成功
2025-05-28 12:50:09 | INFO     | __main__:initialize_system:265 -   - regression: 失败
2025-05-28 12:50:09 | INFO     | __main__:initialize_system:265 -   - clustering: 失败
2025-05-28 12:50:09 | INFO     | __main__:initialize_system:265 -   - statistics: 失败
2025-05-28 12:53:34 | INFO     | __main__:analyze_data:330 - 收到分析请求: /home/work/disk1/LLM-ljw/agent/analysis-agent/data/区控.xlsx，分析达旗白塔公园站点风速与风向的相关性...
2025-05-28 12:53:34 | INFO     | logger_config:log_user_action:113 - [USER] 发送分析请求: {'message': '/home/work/disk1/LLM-ljw/agent/analysis-agent/data/区控.xlsx，分析达旗白塔公园站点风速与风向的相关性', 'analysis_type': 'auto', 'context': {}}
2025-05-28 12:53:34 | INFO     | __main__:analyze_data:348 - 开始执行数据分析...
